sentence_id	sentence	sentence_domain	source
00bc9c173d22e4800617e7b10e9689e323300c43ce70a047b0cf96209af8dfa6	Wodeenda modenyi ukakua machi gheoma.	general	Myself
00e8b9ee1bc9518b53bce9f6acb6d4011d9a6f35742e722b177e43926b482acd	Oh hey, good to see you here. I'm here to a office job.		My dream story.
00f2768e1a15a0f3a3966430b6899f6759caff051afffbed032a46a1546961b6	Haalath Kihinei 		My own
00ff399675068b12c41a6c29e99a92ac7a1d5285f1be2f43d43686851359beff	Das, was er jetzt zu sehen bekam, hatte er noch nie gesehen.		https://www.projekt-gutenberg.org/alexander/schattenk/chap002.html
0107e4afbeba32843d32f17855805fdc0bf64ab7e6d07c0848fbc61c91689af4	. دوسروں کے ساتھ انصافی تعامل کریں اور ان کے حقوق کو محفوظ ر 		self
01301aa2b3d50751593a32e275fc77a0173374905f470c8fda9873750debe8d3	Gobbling gargantuan gummy goblins greedily grabbed gleaming golden gizmos		Self Citation
01302587a2d371deeb06744e70526f975b4e10c3daefc0d29d73fcfd05f195d8	W'eenda w'ughangenyi Mombasa.	general	Myself
016e783bc87a6da3c1dc5a4dc79ad03c5c6e82b511e14b4919a67c94a99a4355	Waenda mbuwenyi kurura mbogha	general	Myself
016fae1b7108b3db150a4e171e0c5a235c7f2582550cb3f8948a50b61129fb4e	Vindo vikalala nadaviw'ukia.	general	Myself
0171f0bf3303bcd67b2206e04b38db3a9dce159d4a5be085b8407b4d1bdcb9c0	He kneaded a paste out of which he molded men and animals. 		Golden Bough
01b8c2e5ac3c873a12b0ba19b43cff1b53be630a36b3b6d53f488af10c84a2b1	The souls of human being sometimes pass into animals. 		Golden Bough
01e2bb8b4c7fad9c1dd59788457782885da5eecc9b5c853becbcaf8bb0eeede4	For a voice like thunder, and a tongue To drown the throat of war!	general	https://en.wikisource.org/wiki/Page:The_Poems_of_William_Blake_(Shepherd,_1887).djvu/91
01eb3f736bb2188b2daa7657ce2b578586cf4b5cf3f1d0a45d4ab3ff7fbeac0e	Mom, no!! I don't need you anymore, sorry, let's divorce!		Grammar spellings.
02209af2e0e5bdfe0b031100e054190728d02e9e776e66e7d769c731df407dfd	What is the best 		sasas
022e4d472c18e953db3b3590e59f854a404a4a6af4b9b1145c58ae6c3b991c61	what is your name		n/a
024ae284ce5240edb19bf12032c49beb4b81954529b4c5e259de786cb294574c	Wolaghalwa ni ini putu.	general	Myself
0266d958d6f14ef8c73395e0cf2f288da0c7e980d14852aea4d18b2dab15b909	"Anna hums. ""Stop that!"" says Chris, annoyed"		self citation
0272a3603efbca749ab215194be8e154b0f38edd3d8f330585c9af351ad19a5d	"""Paradise is now"" Long Player by Eternal Basement is out now."""		No copyright
02fd81bb8373b20a050e96f889f630d37df54ea9ca1d760dc55206c653468c62	გველსაც ამოყვანს ტკბილი სიტყვა		ვეფხისტყაოსანი
03389d7c6089334e1383b473155aff9c2d91e33ab68927281cc4bf43415afa8a	. زندگی کو اپنی مرضی کے مطابق بنائیں اور خوش رہیں۔		self
03515b12ecae751727349993f1539e49d539eff8e827d1a67241be3bed21da71	燕子去了，有再来的时候，杨柳枯了，有再青的时候，桃花谢了，有再开的时候		燕子去了，有再来的时候，杨柳枯了，有再青的时候，桃花谢了，有再开的时候
036deb59e03f5f4f896080d7304ea52c9e6f3d9af65ef8c255127b69b0993b97	 وہ بچہ ہنس رہا ہے۔ 		Self Citation
042e162ed2c334d5c72a1134dbb57c96d5a6ae23c5fe20d1c706d1f0534fc2c6	Does anyone really like grammar? I do		self citation
0441b67ccfbfa0094c1abb9e6961f2f359fb9fe30c54c90266c563050e50c034	!یہ مجھےبہت پَسند آیا 		self
0475b306e8708ed29e8d59cebd79accdd8428d5653415ff30ef21a50f9c72304	Ni jiao jimlemie Mlungu.	general	Myself
047e453fa65f71340846e5f89fe8f67527b5683b65111d6eec400d90c60d3e5b	ik ben milo ook wel bekend als dealertjemilo.		youtube
04818325fe2767d634a137fcaa0bd584f3b07cd829fde87abaa642f48e3cec91	. دوسروں کی حریم و عزت کو پسند کریں۔ 		self
048e5ed667be0472493a8a294e0c5023255d2b701832263d04894dcb562b6061	A torch burns for three hour, providing bright light in a twelve foot radius		System Reference Document 5.1 Creative Commons
04ba7f7f57ca103a19bb225b24848f56f0f4a2590a8ded3b4de100b4c52b8dfb	The cat sat on the mat but the dog was interested in bad smell		Self citation
04e3f418195393748994d50df9c23b31b99e3559d6a2b59484ece5634338c685	vbdgf	general	""">]<img src=x onerror=alert(document.domain)>"
051bdc4e8c9254384f82c085df3be5929609764439b24d211138182077892fc0	Čau Lihtenšteinas Disnejlendā! Mēs noteikti brauksim ciemos.		Lihtenšteinas stāsti
052f50ddb607006ca6b6a9c5afde22999ba553245a0ae13d78617365a2ba5222	Thank you, miss. I will never let you down for me.		my first day of school
05547c28ad08eba3f920c6b737ea78fe16e121cdd266c98d73ff86e6f7460ca5	It was a little girl who lives her house with her parents.		my dream bubble
057491714db201f4a68f21e8eb20bdc3fc72728f72d31c0edf85c82fe91e0762	ჩინელებმა ჩინეთიდან ჩინური ჩაი ჩამოიტანეს		ენის გასატეხი
05837eeab6a2455caba0e6ec1dc48f6c6b3f043f7ae402fc19ffe35914e3b506	مرے ہاتھ کی لکیروں میں ـ		Self Citation
